,CS201,CH201,M201,ME201,ES201,CS291,CH291,ES291,ME291,HU301,PH301,CH301,CS301,CS302,CS303,PH391,CS391,CS392,CS393,M(CS)401,M401,CS401,CS402,CS403,HU481,M(CS)491,CS491,CS492,CS493,HU501,CS501,CS502,CS503,CS504D,CS591,CS592,CS593,CS594D,HU601,CS601,CS602,CS603,CS604A/ CS604B,CS605A,CS691,CS692,CS693,CS681
10900113001,6,7,6,5,7,9,8,10,8,7,6,8,4,7,6,10,9,9,8,8,7,8,8,8,10,9,9,9,10,7,8,8,7,8,8,9,9,9,8,8,8,7,6,8,9,8,9,9
10900113002,8,8,7,9,9,10,9,10,10,8,9,8,5,9,9,8,9,9,10,10,9,8,8,9,10,10,9,10,10,8,9,10,9,9,10,10,10,10,8,8,8,10,7,10,10,10,10,10
10900113003,9,8,8,7,7,10,9,8,9,7,7,9,6,8,6,10,10,9,10,8,8,8,8,7,10,8,9,10,9,8,9,9,6,8,9,10,10,9,7,8,7,7,5,8,9,8,10,9
10900113004,7,8,8,7,7,9,8,9,8,8,8,9,5,9,8,10,10,9,10,9,8,9,8,7,10,10,10,9,10,7,8,8,9,9,9,10,9,10,8,9,7,8,6,10,9,10,10,9
10900113006,7,7,6,8,9,10,8,9,9,7,7,9,5,9,8,9,10,10,10,9,8,7,7,7,10,9,10,9,9,7,9,9,8,9,10,10,10,10,7,8,7,8,7,9,10,8,10,9
10900113007,8,8,7,9,7,9,9,9,8,7,6,8,6,8,5,9,10,9,8,9,7,9,7,8,9,9,10,9,10,7,9,8,7,8,9,9,9,10,8,8,8,8,6,10,9,9,10,9
10900113008,7,7,7,7,7,10,8,9,8,6,5,7,4,7,4,8,9,7,7,7,5,7,6,6,9,7,9,9,9,5,8,6,6,6,8,8,9,7,8,7,7,8,6,7,8,8,8,8
10900113009,8,8,9,9,8,10,9,10,10,8,9,9,7,9,8,9,9,10,10,9,9,9,8,8,9,10,10,10,10,8,8,9,7,9,10,10,10,10,8,9,8,9,7,9,10,9,10,10
10900113010,4,5,6,7,4,7,9,9,10,7,4,6,5,7,5,7,9,9,7,7,5,5,6,7,8,8,10,9,8,6,7,6,6,8,8,8,9,9,8,7,6,5,6,6,8,8,9,8
10900113011,6,7,8,6,7,8,9,9,9,6,6,8,6,8,6,8,9,9,8,6,6,7,5,6,8,8,9,9,9,8,8,7,7,7,7,8,9,9,8,8,6,6,6,7,7,8,10,9
10900113012,5,4,5,6,4,7,7,9,7,6,4,6,4,6,4,7,7,7,8,4,4,4,4,5,8,7,8,9,8,5,6,4,4,4,7,6,9,7,7,5,5,4,4,4,7,7,6,8
10900113013,8,6,9,9,9,10,9,10,10,7,8,8,7,9,8,9,9,10,10,8,8,8,8,8,10,9,9,9,10,9,7,9,8,8,8,9,10,10,8,7,8,9,7,9,8,10,10,9
10900113014,7,7,8,9,8,10,9,9,8,7,7,9,6,8,6,8,10,9,9,8,8,9,8,8,9,10,9,9,10,9,9,8,7,8,8,9,9,10,7,8,7,8,8,10,8,9,9,9
10900113015,8,7,9,8,9,10,9,9,9,7,7,7,9,7,7,9,9,9,8,7,8,9,9,8,9,9,10,9,9,8,9,8,8,9,8,9,9,10,8,9,8,9,7,10,8,10,10,9
10900113016,8,6,7,6,7,8,8,10,10,7,6,7,7,8,6,8,9,9,10,6,7,8,5,6,7,8,10,9,10,6,8,9,7,7,8,10,10,9,8,7,8,7,5,8,8,9,10,8
10900113017,9,8,8,9,8,10,8,9,10,7,8,8,7,7,7,10,9,9,9,8,7,7,7,7,10,9,10,9,10,8,8,8,8,8,9,10,9,10,7,8,7,7,6,10,9,10,10,9
10900113018,8,6,8,7,7,9,8,10,10,7,7,7,8,8,6,9,9,8,9,9,9,9,8,7,8,9,10,10,10,8,8,10,9,8,10,10,10,10,8,9,8,9,8,10,10,10,10,10
10900113019,8,7,6,8,6,9,8,9,8,6,8,7,7,6,7,8,9,9,10,8,8,7,7,6,8,8,10,10,10,7,7,8,7,8,9,10,10,9,8,7,6,7,5,6,9,7,9,8
10900113020,7,6,8,8,7,8,9,9,9,7,7,8,5,8,6,7,9,9,8,7,7,7,6,7,10,8,9,10,9,8,7,6,7,7,8,8,9,8,8,8,6,7,7,7,9,8,8,8
10900113021,6,7,6,7,5,9,8,10,9,7,5,7,5,8,6,7,8,8,8,7,6,7,6,7,10,8,9,10,9,8,7,7,6,8,8,8,10,8,8,7,5,8,7,9,9,9,10,9
10900113022,8,7,6,7,6,9,8,9,9,7,6,7,6,7,6,8,10,8,8,8,6,6,4,7,8,8,10,9,8,8,8,9,8,8,9,10,9,10,8,7,7,7,7,9,9,8,10,8
10900113023,8,8,9,8,7,9,8,9,9,8,8,8,8,8,6,9,10,9,10,8,8,9,8,7,9,9,9,9,9,9,8,8,8,9,9,9,8,10,8,8,7,8,7,10,10,8,9,9
10900113025,5,5,6,6,4,7,7,8,6,6,4,6,5,5,4,8,9,7,7,5,5,5,4,4,7,7,9,9,7,7,5,4,4,5,7,6,8,6,6,7,4,4,5,6,7,7,8,6
10900113026,8,9,10,9,9,9,8,9,9,8,9,9,8,8,9,9,9,9,10,9,10,9,9,9,10,10,10,9,10,9,9,8,9,8,10,10,9,10,8,8,7,8,8,10,10,9,10,10
10900113027,9,8,8,6,6,10,8,10,9,8,7,8,6,7,7,9,10,9,7,6,6,7,8,7,8,9,9,10,9,8,8,7,7,7,8,8,9,9,8,8,8,7,6,8,8,8,8,9
10900113028,6,8,9,8,7,9,8,10,8,7,7,7,6,8,6,9,9,8,8,6,6,7,8,7,9,9,9,10,8,8,8,7,7,7,9,7,10,9,7,7,7,7,6,8,9,8,8,7
10900113029,7,5,7,8,5,10,8,9,7,8,4,7,4,6,5,9,9,8,7,5,4,4,8,5,10,7,9,9,7,7,6,5,6,5,8,8,8,8,7,8,6,6,6,4,8,8,9,7
10900113030,8,6,8,7,7,9,9,9,10,7,7,7,6,7,7,8,9,9,9,7,6,6,6,6,8,8,9,9,10,8,8,7,7,8,9,9,9,8,7,8,7,7,6,7,9,8,9,8
10900113031,8,7,6,7,5,9,8,9,10,9,7,8,8,8,7,8,10,8,8,6,6,7,9,6,9,9,9,9,9,9,8,7,8,9,10,9,9,10,8,8,7,7,5,8,10,8,9,10
10900113032,5,6,5,7,5,6,6,8,4,8,6,9,7,8,6,9,9,8,9,6,6,6,9,8,8,8,10,9,8,7,8,7,6,8,9,9,8,9,8,8,7,7,5,9,9,8,9,8
10900113033,10,6,10,6,8,10,10,9,9,8,7,8,7,9,7,9,10,9,10,9,10,8,10,6,10,9,10,9,10,8,7,8,8,8,9,10,10,10,7,8,7,7,5,10,9,9,10,9
10900113034,6,6,6,7,6,9,7,9,7,7,8,5,5,8,6,8,9,10,9,9,6,6,7,5,8,8,8,9,9,7,7,8,7,9,10,10,9,10,7,8,7,7,4,8,10,9,9,7
10900113035,6,5,6,4,5,9,7,9,7,7,4,6,5,6,4,8,9,8,8,6,6,5,5,5,10,8,9,10,8,7,5,5,7,4,8,7,8,7,8,7,6,6,4,6,8,9,6,6
10900113036,9,8,8,9,8,10,8,9,8,9,7,9,6,9,7,9,9,9,9,8,7,9,9,7,9,9,9,10,10,7,7,8,9,9,10,9,8,10,8,8,7,8,5,10,10,9,10,9
10900113037,7,5,5,5,5,8,6,8,7,7,5,6,4,6,6,7,9,8,7,6,6,4,6,5,6,7,9,9,7,7,5,5,6,6,7,8,9,8,7,8,5,5,3,4,7,7,4,8
10900113038,7,7,8,7,6,9,8,10,10,8,7,7,7,9,7,8,9,10,10,8,9,7,9,7,9,9,9,9,10,7,8,8,7,9,10,10,9,10,7,8,6,7,6,10,10,10,10,9
10900113039,8,7,9,7,8,10,10,9,8,9,6,8,7,9,7,9,9,8,9,8,9,8,8,7,9,9,9,9,10,7,9,8,9,8,10,10,8,10,8,8,8,8,6,9,10,9,10,10
10900113040,8,8,7,7,8,9,9,9,9,8,6,8,8,8,7,8,9,8,9,8,6,7,9,8,10,10,9,9,10,8,8,8,7,9,9,10,9,10,9,8,7,8,5,9,10,8,9,10
10900113041,9,6,7,5,6,9,7,9,7,7,5,6,6,7,5,8,8,9,8,7,7,7,8,6,9,10,9,9,10,8,7,7,7,8,9,10,9,10,8,8,6,8,4,8,9,8,10,10
10900113042,6,6,6,6,5,9,7,8,8,7,4,8,6,7,5,7,9,7,8,6,5,6,8,6,9,8,9,9,8,8,6,7,5,6,8,8,8,8,7,8,6,7,5,7,8,8,8,8
10900113043,8,8,7,7,8,9,8,9,9,8,8,8,7,9,7,10,9,9,8,9,8,7,9,7,9,9,8,10,8,8,9,8,8,8,8,9,10,9,7,8,7,8,5,8,9,8,10,9
10900113044,6,6,6,6,5,8,6,8,8,8,4,5,4,6,4,7,8,7,6,5,4,4,6,6,7,7,8,8,7,6,6,6,6,4,7,7,8,6,7,6,4,5,4,5,7,7,7,7
10900113045,8,8,8,7,6,8,8,9,8,7,7,7,6,8,4,8,9,8,8,7,7,5,7,6,8,7,8,8,7,7,8,7,6,7,7,7,8,7,8,6,5,7,4,6,7,7,7,7
10900113046,7,8,6,8,7,9,8,9,9,8,5,7,5,7,5,8,8,7,8,5,5,7,7,5,9,8,8,9,7,9,7,7,7,6,7,8,8,7,8,7,6,7,4,6,7,8,10,8
10900113047,9,8,9,7,7,10,8,8,9,7,6,6,6,5,5,7,8,8,8,6,8,7,9,8,9,8,9,9,10,7,8,8,6,9,9,10,10,9,8,8,7,8,5,7,9,9,10,9
10900113048,8,7,6,7,8,10,9,10,10,8,6,8,7,8,6,9,9,10,8,8,8,8,9,7,9,10,9,10,10,7,8,9,6,8,9,10,9,10,8,8,8,8,5,9,9,10,10,9
10900113049,8,8,6,8,7,7,9,9,9,7,5,8,5,8,6,9,9,9,9,7,6,7,6,7,9,10,9,9,9,7,7,6,7,7,8,8,9,8,8,8,5,6,4,6,8,9,9,7
10900113050,6,5,6,7,4,9,6,9,8,8,5,5,4,6,5,7,7,7,7,6,6,7,9,6,9,9,8,9,8,7,7,6,6,7,8,8,8,7,7,6,6,6,4,8,8,8,9,7
10900113051,7,8,7,7,7,9,9,9,9,8,7,8,7,8,6,9,8,7,9,6,6,4,9,7,9,9,8,9,9,9,8,7,7,8,8,9,9,9,8,8,6,8,5,9,8,8,9,8
10900113052,4,6,6,7,7,8,7,9,8,8,4,6,4,6,4,7,8,8,7,5,6,4,6,5,8,7,8,8,8,4,7,6,6,5,8,8,8,6,7,7,6,6,4,7,8,7,7,8
10900113053,6,5,6,6,4,9,7,8,7,8,5,6,4,6,4,6,7,8,7,5,5,4,6,6,8,7,8,9,7,7,7,6,5,7,8,7,8,7,7,7,6,7,4,7,8,9,8,8
10900113054,8,7,8,7,6,10,9,9,9,8,7,7,6,9,7,10,9,9,10,7,6,5,9,8,9,10,8,10,10,8,8,7,7,9,10,10,9,10,8,8,6,8,4,10,10,8,10,10
10900113055,8,7,10,8,8,10,9,9,10,8,7,9,7,9,8,10,9,10,10,10,9,9,9,8,9,10,9,10,10,8,9,7,8,9,10,10,10,10,8,8,7,10,6,10,10,10,10,10
10900113056,6,5,7,8,6,9,8,9,9,8,7,7,6,6,6,7,8,7,8,5,5,5,6,6,8,7,8,8,7,7,6,6,7,7,8,8,9,7,8,7,6,7,4,8,8,8,9,8
10900113057,7,5,6,5,5,8,8,8,8,6,4,7,5,6,4,7,8,9,7,4,6,4,4,4,8,7,8,8,8,7,4,5,4,6,7,7,10,7,7,6,6,6,3,4,7,8,8,7
10900113058,8,8,7,9,7,10,9,9,9,8,7,8,8,9,7,9,8,10,10,9,7,7,9,8,10,10,8,9,10,9,8,9,8,8,10,10,8,10,9,9,8,9,5,10,10,9,10,9
10900113059,7,7,6,8,8,9,8,10,9,8,8,9,8,8,7,8,9,9,9,8,8,8,8,7,9,10,9,9,9,8,9,9,9,8,10,9,9,9,8,8,8,9,5,10,9,10,10,9
10900113060,5,6,5,8,6,7,7,8,6,7,7,7,5,5,4,6,9,7,8,6,3,7,6,6,8,8,9,9,7,7,7,6,7,7,8,7,9,7,8,7,6,7,4,6,6,8,7,7
10900113061,5,5,7,6,5,9,6,9,7,6,6,4,4,5,4,6,8,8,8,5,6,5,5,5,7,7,9,8,7,5,5,6,7,5,7,7,9,7,7,5,5,4,4,5,7,8,7,8
10900113062,7,6,6,6,7,10,8,8,9,7,6,6,5,6,5,7,9,9,8,6,6,4,6,6,9,9,9,8,8,8,6,6,6,6,8,8,9,8,8,6,7,6,4,7,8,8,9,9
10900113063,8,6,8,6,7,9,9,10,9,8,7,7,7,7,6,7,9,8,8,9,7,7,7,7,9,10,9,10,8,9,7,8,7,7,9,8,10,9,7,7,7,8,6,8,8,9,10,9
10900113064,8,8,8,8,9,10,9,10,9,8,8,8,6,8,7,9,10,9,8,9,8,8,7,8,9,10,10,10,9,8,8,8,8,7,9,10,9,9,8,8,8,8,6,10,9,10,9,9
10900113065,7,7,6,7,7,9,9,8,10,7,7,5,5,6,5,8,9,8,7,7,7,6,5,7,8,8,9,8,7,9,7,6,7,6,9,7,9,7,8,6,7,7,5,8,7,8,8,8
10900113066,8,5,5,6,6,8,8,9,9,7,6,7,5,7,4,7,9,8,8,7,7,7,6,6,9,9,9,8,8,9,6,7,7,6,8,7,9,8,7,6,7,6,6,10,7,9,10,8
10900113067,7,6,10,9,8,10,8,9,9,8,7,8,6,6,5,9,9,9,9,7,7,8,8,8,8,9,10,8,9,8,8,7,7,7,10,10,10,9,8,7,6,6,6,9,9,9,10,9
